,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
2414,Nová Ves nad Žitavou,Nová Ves nad Žitavou,Nitra,951 51,Nová Ves nad Žitavou,Nová Ves nad Žitavou,403,NI,48.2893947,18.3227504
2415,Nová Ves pri Dunaji,Nová Ves pri Dunaji,Senec,900 29,Nová Dedinka,Nová Dedinka,108,BL,48.191062,17.3619335
2416,Nová Vieska,Nová Vieska,Nové Zámky,943 42,Gbelce,Gbelce,404,NI,47.8704987,18.4618524
2417,Nová Vieska pri Bodrogu,N.Vieska pri Bodrogu,Trebišov,076 35,Somotor,Somotor,811,KI,48.4237586,21.815423
2418,Nováčany,Nováčany,Revúca,049 13,Hucín,Hucín,608,BC,48.5804664,20.3257026
2419,Nováčany,Nováčany,Košice-okolie,044 21,Šemša,Šemša,806,KI,48.6897464,21.0716847
2420,Nováky,Nováky,Prievidza,972 71,Nováky,Nováky,307,TC,48.7190624,18.5420563
2421,Nové Hony,Nové Hony,Lučenec,985 42,Veľké Dravce,Veľké Dravce,606,BC,48.362734,19.824897
2422,Nové Košariská,Nové Košariská,Senec,900 42,Dunajská Lužná,Dunajská Lužná,108,BL,48.0907395,17.2733522
2423,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Nové Mesto n.Váhom,915 01,Nové Mesto nad Váhom,Nové Mesto nad Váhom,304,TC,48.7568395,17.8253957
2424,Nové Osady,Nové Osady,Galanta,925 22,Veľké Úľany,Veľké Úľany,202,TA,48.1405462,17.597779
2425,Nové Sady,Nové Sady,Nitra,951 24,Nové Sady pri Nitre,Nové Sady pri Nitre,403,NI,48.4171558,17.9838104
2426,Nové Zámky,Nové Zámky,Nové Zámky,940 02,Nové Zámky 2,Nové Zámky 2,404,NI,47.9881643,18.1571098
2427,Novosad,Novosad,Trebišov,076 02,Novosad,Novosad,811,KI,48.5252875,21.741338
2428,Novoť,Novoť,Námestovo,029 55,Novoť,Novoť,507,ZI,49.4274283,19.2730997
2429,Novotský Duľov,Novotský Duľov,Námestovo,029 63,Mútne,Mútne,507,ZI,49.4327,19.31095
2430,Novoveská Huta,Novoveská Huta,Spišská Nová Ves,053 31,Novoveská Huta,Novoveská Huta,810,KI,48.9012459,20.5170274
2431,Nový Diel,Nový Diel,Komárno,946 54,Bajč,Bajč,401,NI,47.95249,18.26122
2432,Nový Dvor,Nový Dvor,Levice,935 77,Vyškovce nad Ipľom,Vyškovce nad Ipľom,402,NI,48.08879,18.86045
2433,Nový Gúg,Nový Gúg,Nové Zámky,940 02,Nové Zámky 2,Nové Zámky 2,404,NI,47.97000999999999,18.10565
2434,Nový Majer,Nový Majer,Trebišov,075 01,Trebišov 1,Trebišov 1,811,KI,48.6357,21.7781599
2435,Nový Ruskov,Nový Ruskov,Trebišov,075 01,Trebišov 1,Trebišov 1,811,KI,48.6499746,21.6788958
2436,Nový Sad,Nový Sad,Lučenec,985 41,Šávoľ,Šávoľ,606,BC,48.3260124,19.8166167
2437,Nový Salaš,Nový Salaš,Košice-okolie,044 17,Slanec,Slanec,806,KI,48.61119,21.4745721
2438,Nový Svet,Nový Svet,Detva,985 45,Látky,Látky,604,BC,48.56321759999999,19.6067504
2439,Nový Svet,Nový Svet,Senec,903 01,Senec,Senec,108,BL,48.2139933,17.4801497
2440,Nový Tekov,Nový Tekov,Levice,935 33,Nový Tekov,Nový Tekov,402,NI,48.24326629999999,18.5206353
2441,Nový Život,Nový Život,Dunajská Streda,930 38,Nový Život,Nový Život,201,TA,48.1207828,17.4662888
2442,Nozdrovice,Nozdrovice,Ilava,018 64,Košeca,Košeca,302,TC,49.0154516,18.2771145
2443,Nýrovce,Nýrovce,Levice,935 67,Málaš,Málaš,402,NI,48.0245686,18.5746217
