,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
0,Ábelová,Ábelová,Lučenec,985 13,Ábelová,Ábelová,606,BC,48.4108169,19.4317411
1,Abovce,Abovce,Rimavská Sobota,980 44,Lenartovce,Lenartovce,609,BC,48.3188277,20.3393511
2,Abrahám,Abrahám,Galanta,925 45,Abrahám,Abrahám,202,TA,48.25084649999999,17.6169626
3,Abrahámovce,Abrahámovce,Bardejov,086 41,Raslavice,Raslavice,701,PV,49.1614319,21.3434837
4,Abrahámovce,Abrahámovce,Kežmarok,059 72,Vrbov,Vrbov,703,PV,49.0445804,20.439083
5,Abramová,Abramová,Turčianske Teplice,038 22,Slovenské Pravno,Slovenské Pravno,509,ZI,48.9358713,18.7967004
6,Abranovce,Abranovce,Prešov,082 52,Kokošovce,Kokošovce,707,PV,48.93274359999999,21.3480108
7,Adamovské Kochanovce,Adamovské Kochanovce,Trenčín,913 05,Melčice-Lieskové,Melčice-Lieskové,309,TC,48.8525988,17.9275991
8,Adidovce,Adidovce,Humenné,067 32,Vyšný Hrušov,Vyšný Hrušov,702,PV,49.0156054,22.0366449
9,Albínov,Albínov,Trebišov,078 01,Sečovce,Sečovce,811,KI,48.73051539999999,21.6660916
10,Alekšince,Alekšince,Nitra,951 22,Alekšince,Alekšince,403,NI,48.3667063,17.9497477
11,Alexandrov Dvor,Alexandrov Dvor,Nitra,951 34,Báb,Báb,403,NI,48.2988615,17.8935869
12,Alžbetin Dvor,Alžbetin Dvor,Senec,900 42,Dunajská Lužná,Dunajská Lužná,108,BL,48.08614,17.314
13,Amadeho Kračany,Amadeho Kračany,Dunajská Streda,930 03,Kráľovičove Kračany,Kráľovičove Kračany,201,TA,47.9646205,17.5761973
14,Aňala,Aňala,Komárno,946 51,Nesvady,Nesvady,401,NI,47.9567041,18.1361961
15,Aňalské Záhrady,Aňalské Záhrady,Komárno,946 51,Nesvady,Nesvady,401,NI,47.94089,18.14854
16,Andač,Andač,Nitra,951 42,Zbehy,Zbehy,403,NI,48.37224399999999,17.9752177
17,Andice,Andice,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.07234,19.55233
18,Andovce,Andovce,Nové Zámky,941 23,Andovce,Andovce,404,NI,47.99395029999999,18.1067587
19,Andrejová,Andrejová,Bardejov,086 37,Šarišské Čierne,Šarišské Čierne,701,PV,49.3342318,21.3326199
20,Andrejovka,Andrejovka,Stará Ľubovňa,065 43,Orlov nad Popradom,Orlov nad Popradom,710,PV,49.28761,20.8990799
21,Arad,Arad,Nové Zámky,943 42,Gbelce,Gbelce,404,NI,47.87988,18.47014
22,Ardanovce,Ardanovce,Topoľčany,956 06,Šalgovce,Šalgovce,406,NI,48.5365851,17.9048894
23,Ardovo,Ardovo,Rožňava,049 55,Dlhá Ves,Dlhá Ves,808,KI,48.5328567,20.4189869
24,Arma,Arma,Levice,935 41,Tekovské Lužany,Tekovské Lužany,402,NI,48.06136,18.50034
25,Arnutovce,Arnutovce,Spišská Nová Ves,053 13,Letanovce,Letanovce,810,KI,48.9771863,20.4936844
26,Báb,Báb,Nitra,951 34,Báb,Báb,403,NI,48.3103344,17.8682559
27,Babie,Babie,Vranov nad Topľou,094 31,Hanušovce nad Topľou,Hanušovce nad Topľou,713,PV,49.06867880000001,21.4931684
28,Babín,Babín,Námestovo,029 52,Hruštín,Hruštín,507,ZI,49.3323414,19.3823568
29,Babin Potok,Babin Potok,Prešov,082 67,Terňa,Terňa,707,PV,49.1161316,21.2214772
30,Babiná,Babiná,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.43477069999999,19.0904394
31,Babindol,Babindol,Nitra,951 53,Klasov,Klasov,403,NI,48.2883065,18.2367973
32,Babinec,Babinec,Rimavská Sobota,980 26,Lukovištia,Lukovištia,609,BC,48.5122939,20.0053065
33,Babiše,Babiše,Bytča,013 54,Kolárovice,Kolárovice,501,ZI,49.3340371,18.5058947
34,Babkov,Babkov,Žilina,013 11,Lietavská Lúčka,Lietavská Lúčka,511,ZI,49.1579896,18.6456646
35,Babulicov Vrch,Babulicov Vrch,Myjava,916 13,Kostolné,Kostolné,303,TC,48.7357302,17.65684
36,Bacúch,Bacúch,Brezno,976 64,Beňuš,Beňuš,603,BC,48.8592935,19.8059984
37,Bacúrov,Bacúrov,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.52017130000001,19.0594703
38,Báč,Báč,Dunajská Streda,930 30,Rohovce,Rohovce,201,TA,48.0042236,17.3775921
39,Bačala,Bačala,Nitra,951 15,Mojmírovce,Mojmírovce,403,NI,48.1889,17.99383
40,Bačka,Bačka,Trebišov,076 84,Leles,Leles,811,KI,48.443715,22.0512507
41,Bačkov,Bačkov,Trebišov,076 61,Bačkov,Bačkov,811,KI,48.7391072,21.6253616
42,Bačkovík,Bačkovík,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.78294469999999,21.4309867
43,Báčovce,Báčovce,Krupina,962 68,Hontianske Tesáre,Hontianske Tesáre,605,BC,48.2370326,18.9161248
44,Baďan,Baďan,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.33164679999999,18.8406838
45,Bádice,Bádice,Nitra,951 46,Podhorany pri Nitre,Podhorany pri Nitre,403,NI,48.3967866,18.1305371
46,Badín,Badín,Banská Bystrica,976 32,Badín,Badín,601,BC,48.6660255,19.1212809
47,Báhoň,Báhoň,Pezinok,900 84,Báhoň,Báhoň,107,BL,48.3082085,17.4447469
48,Bajany,Bajany,Michalovce,072 54,Lekárovce,Lekárovce,807,KI,48.6034714,22.1093992
49,Bajč,Bajč,Komárno,946 54,Bajč,Bajč,401,NI,47.9245226,18.2073763
50,Bajerov,Bajerov,Prešov,082 41,Bajerov,Bajerov,707,PV,48.953299,21.115819
51,Bajerovce,Bajerovce,Sabinov,082 73,Šarišské Dravce,Šarišské Dravce,708,PV,49.2110676,20.7939207
52,Bajka,Bajka,Levice,935 51,Tekovský Hrádok,Tekovský Hrádok,402,NI,48.1510003,18.5186461
53,Bajtava,Bajtava,Nové Zámky,943 65,Kamenica nad Hronom,Kamenica nad Hronom,404,NI,47.8552879,18.7499875
54,Baka,Baka,Dunajská Streda,930 04,Baka,Baka,201,TA,47.90794959999999,17.5206654
55,Bakta,Bakta,Rimavská Sobota,979 01,Rimavská Sobota 1,Rimavská Sobota 1,609,BC,48.3913573,20.0923488
56,Baláže,Baláže,Banská Bystrica,976 11,Selce pri Banskej Bystrici,Selce pri B.Bystrici,601,BC,48.8137294,19.1955365
57,Baldovce,Baldovce,Levoča,053 04,Spišské Podhradie,Spišské Podhradie,704,PV,48.9928915,20.7143092
58,Balog nad Ipľom,Balog nad Ipľom,Veľký Krtíš,991 11,Balog nad Ipľom,Balog nad Ipľom,610,BC,48.07709570000001,19.1299013
59,Baloň,Baloň,Dunajská Streda,930 08,Čiližská Radvaň,Čiližská Radvaň,201,TA,47.8258835,17.6742312
60,Balvany,Balvany,Komárno,946 01,Kameničná pri Komárne,Kameničná pri Komár.,401,NI,47.830489,18.020693
61,Baňa,Baňa,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.2165691,21.6059077
62,Baňa Lucia,Baňa Lucia,Košice-okolie,044 25,Medzev,Medzev,806,KI,48.72448,20.9259399
63,Banka,Banka,Piešťany,921 01,Piešťany 1,Piešťany 1,204,TA,48.5843408,17.8527523
64,Banky,Banky,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.4831177,18.8603208
65,Banky,Banky,Prievidza,972 25,Diviaky nad Nitricou,Diviaky nad Nitricou,307,TC,48.7788334,18.496256
66,Bánov,Bánov,Nové Zámky,941 01,Bánov pri Nových Zámkoch,Bánov pri N.Zámkoch,404,NI,48.0489174,18.1907445
67,Bánová,Bánová,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.20165,18.72174
68,Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,,,Pozri zoz.ulíc s PSČ,301,TC,48.71884439999999,18.2603402
69,Bánovce nad Ondavou,Bánovce nad Ondavou,Michalovce,072 04,Trhovište,Trhovište,807,KI,48.685595,21.8121711
70,Banská,Banská,Prievidza,972 48,Horná Ves,Horná Ves,307,TC,48.56545999999999,18.52562
71,Banská Belá,Banská Belá,Banská Štiavnica,966 15,Banská Belá,Banská Belá,602,BC,48.4753584,18.9333675
72,Banská Bystrica,Banská Bystrica,Banská Bystrica,,,Pozri zoz.ulíc s PSČ,601,BC,48.736277,19.1461917
73,Banská Hodruša,Banská Hodruša,Žarnovica,966 63,Hodruša - Hámre 1,Hodruša - Hámre 1,612,BC,48.4528238,18.8021735
74,Banská Štiavnica,Banská Štiavnica,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.44957600000001,18.9086908
75,Banské,Banské,Vranov nad Topľou,094 12,Vechec,Vechec,713,PV,48.8288471,21.5749804
76,Banský Studenec,Banský Studenec,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.4463377,18.9707691
77,Bara,Bara,Trebišov,076 32,Borša,Borša,811,KI,48.4281811,21.7163705
78,Barca,Barca,Rimavská Sobota,982 51,Figa,Figa,609,BC,48.3730187,20.2298393
79,Bardejov,Bardejov,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.2946129,21.2754096
80,Bardejovská Nová Ves,Bardejovská Nová Ves,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.3017677,21.3168327
81,Bardejovská Zábava,Bardejovská Zábava,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.2599881,21.2510123
82,Bardejovské Kúpele,Bardejovské Kúpele,Bardejov,086 31,Bardejovské kúpele,Bardejovské kúpele,701,PV,49.32598000000001,21.2772199
83,Bardoňovo,Bardoňovo,Nové Zámky,941 49,Bardoňovo,Bardoňovo,404,NI,48.10972659999999,18.4218689
84,Bartošova Lehôtka,Bartošova Lehôtka,Žiar nad Hronom,967 01,Kremnica 1,Kremnica 1,613,BC,48.6528305,18.9131483
85,Bartošovce,Bartošovce,Bardejov,086 42,Hertník,Hertník,701,PV,49.1962641,21.2765255
86,Baška,Baška,Košice-okolie,040 16,Košice 16,Košice 16,806,KI,48.70737810000001,21.1806445
87,Baškovce,Baškovce,Humenné,067 23,Baškovce pri Humennom,Baškovce pri Humen.,702,PV,49.0334514,21.8375646
88,Baškovce,Baškovce,Sobrance,073 01,Sobrance,Sobrance,809,KI,48.74576889999999,22.1794779
89,Bašovce,Bašovce,Piešťany,922 01,Ostrov pri Piešťanoch,Ostrov pri Piešťan.,204,TA,48.5918169,17.8271339
90,Baštín,Baštín,Partizánske,956 18,Bošany,Bošany,305,TC,48.5593571,18.2393382
91,Batizovce,Batizovce,Poprad,059 35,Batizovce,Batizovce,706,PV,49.0753937,20.1854134
92,Bátka,Bátka,Rimavská Sobota,980 21,Bátka,Bátka,609,BC,48.3804963,20.1663838
93,Bátorová,Bátorová,Veľký Krtíš,991 26,Nenince,Nenince,610,BC,48.1327302,19.2731594
94,Bátorove Kosihy,Bátorove Kosihy,Komárno,946 34,Bátorove Kosihy,Bátorove Kosihy,401,NI,47.8304839,18.4118276
95,Bátovce,Bátovce,Levice,935 03,Bátovce,Bátovce,402,NI,48.2909126,18.7445651
96,Beckov,Beckov,Nové Mesto n.Váhom,916 38,Beckov,Beckov,304,TC,48.7891537,17.8952659
97,Beckovská Vieska,Beckovská Vieska,Nové Mesto n.Váhom,916 31,Kočovce,Kočovce,304,TC,48.7525463,17.8813686
98,Bečov,Bečov,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.6499766,19.2431397
99,Beharovce,Beharovce,Levoča,053 05,Beharovce,Beharovce,704,PV,49.0041748,20.8123716
100,Behynce,Behynce,Revúca,982 01,Tornaľa,Tornaľa,608,BC,48.4241859,20.2921548
101,Behynce,Behynce,Topoľčany,956 07,Veľké Ripňany,Veľké Ripňany,406,NI,48.52092709999999,17.9700517
102,Becherov,Becherov,Bardejov,086 35,Becherov,Becherov,701,PV,49.4203374,21.3097143
103,Beketfa,Beketfa,Dunajská Streda,930 34,Holice na Ostrove,Holice na Ostrove,201,TA,47.9928596,17.4958613
104,Belá,Belá,Žilina,013 05,Belá pri Varíne,Belá pri Varíne,511,ZI,49.2398509,18.9429004
105,Belá,Belá,Nové Zámky,943 53,Ľubá,Ľubá,404,NI,47.8316279,18.5958468
106,Belá - Dulice,Belá - Dulice,Martin,038 11,Belá pri Martine,Belá pri Martine,506,ZI,49.0030059,18.9791489
107,Belá nad Cirochou,Belá nad Cirochou,Snina,067 81,Belá nad Cirochou,Belá nad Cirochou,709,PV,48.97748139999999,22.1042236
108,Beladice,Beladice,Zlaté Moravce,951 75,Beladice,Beladice,407,NI,48.3386744,18.2993856
109,Belejov,Belejov,Považská Bystrica,018 03,Horná Mariková,Horná Mariková,306,TC,49.2311279,18.3246214
110,Belejovce,Belejovce,Svidník,089 01,Svidník,Svidník,712,PV,49.3753845,21.5446474
111,Belek,Belek,Nové Zámky,941 48,Podhájska,Podhájska,404,NI,48.1043744,18.3508191
112,Belín,Belín,Rimavská Sobota,980 01,Rimavské Janovce,Rimavské Janovce,609,BC,48.3405931,20.1075418
113,Belina,Belina,Lučenec,986 01,Fiľakovo,Fiľakovo,606,BC,48.242888,19.8536195
114,Belince,Belince,Topoľčany,956 12,Preseľany,Preseľany,406,NI,48.4626087,18.0999619
115,Bellova Ves,Bellova Ves,Dunajská Streda,930 52,Blahová,Blahová,201,TA,48.0882842,17.5110957
116,Beloveža,Beloveža,Bardejov,086 14,Hažlín,Hažlín,701,PV,49.29696,21.3643184
117,Beluj,Beluj,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.3517015,18.8926929
118,Beluša,Beluša,Púchov,018 61,Beluša,Beluša,308,TC,49.065522,18.3278405
119,Belža,Belža,Košice-okolie,044 58,Seňa,Seňa,806,KI,48.5807921,21.2741607
120,Beňadiková,Beňadiková,Liptovský Mikuláš,032 04,Liptovský Ondrej,Liptovský Ondrej,505,ZI,49.0773333,19.6823112
121,Beňadikovce,Beňadikovce,Svidník,090 42,Okruhlé,Okruhlé,712,PV,49.2336023,21.5468771
122,Beňadovo,Beňadovo,Námestovo,029 63,Mútne,Mútne,507,ZI,49.4309701,19.3414915
123,Beňatina,Beňatina,Sobrance,072 64,Podhoroď,Podhoroď,809,KI,48.8062542,22.3206458
124,Beniakovce,Beniakovce,Košice-okolie,044 42,Rozhanovce,Rozhanovce,806,KI,48.7693462,21.316781
125,Benice,Benice,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.0744241,19.5599555
126,Benice,Benice,Martin,038 42,Príbovce,Príbovce,506,ZI,48.99560899999999,18.8713032
127,Benkova Potôň,Benkova Potôň,Dunajská Streda,930 36,Horná Potôň,Horná Potôň,201,TA,48.0392038,17.4999903
128,Benkovce,Benkovce,Vranov nad Topľou,094 02,Slovenská Kajňa,Slovenská Kajňa,713,PV,48.9509155,21.7091112
129,Beňov,Beňov,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.18798,18.48774
130,Beňova Lehota,Beňova Lehota,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.23008189999999,19.2627551
131,Beňuš,Beňuš,Brezno,976 64,Beňuš,Beňuš,603,BC,48.82896059999999,19.7574755
132,Beňušovce,Beňušovce,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.1372221,19.5533555
133,Bernátovce,Bernátovce,Košice-okolie,044 13,Valaliky,Valaliky,806,KI,48.64375,21.2964399
134,Bernolákovo,Bernolákovo,Senec,900 27,Bernolákovo,Bernolákovo,108,BL,48.1995393,17.2985114
135,Bertotovce,Bertotovce,Prešov,082 35,Hendrichovce,Hendrichovce,707,PV,49.0228639,21.0246294
136,Besné,Besné,Považská Bystrica,018 02,Dolná Mariková,Dolná Mariková,306,TC,49.2142625,18.36173
137,Beša,Beša,Levice,935 36,Beša,Beša,402,NI,48.144334,18.4036334
138,Beša,Beša,Michalovce,076 72,Vojany,Vojany,807,KI,48.53357829999999,21.9508021
139,Bešeňov,Bešeňov,Nové Zámky,941 41,Bešeňov,Bešeňov,404,NI,48.0441964,18.2615196
140,Bešeňová,Bešeňová,Ružomberok,034 83,Liptovská Teplá,Liptovská Teplá,508,ZI,49.1002105,19.4347201
141,Betlanovce,Betlanovce,Spišská Nová Ves,053 15,Hrabušice,Hrabušice,810,KI,48.97955169999999,20.3907843
142,Betlenovce,Betlenovce,Michalovce,071 01,Michalovce 1,Michalovce 1,807,KI,48.7285051,21.903283
143,Betliar,Betliar,Rožňava,049 21,Betliar,Betliar,808,KI,48.70369710000001,20.5093612
144,Bezdedov - Vieska,Bezdedov - Vieska,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.1356878,18.2993148
145,Bežovce,Bežovce,Sobrance,072 53,Bežovce,Bežovce,809,KI,48.6316277,22.1511587
146,Bidovce,Bidovce,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.7364136,21.4392562
147,Biel,Biel,Trebišov,076 41,Biel,Biel,811,KI,48.4077052,22.0550909
148,Biela,Biela,Dolný Kubín,027 05,Zázrivá,Zázrivá,503,ZI,49.24086,19.1341
149,Biela Voda,Biela Voda,Prievidza,972 29,Čavoj,Čavoj,307,TC,48.89065,18.48908
150,Biele Vody,Biele Vody,Brezno,976 53,Lom nad Rimavicou,Lom nad Rimavicou,603,BC,48.61887,19.58254
151,Biele Vody,Biele Vody,Spišská Nová Ves,053 76,Mlynky,Mlynky,810,KI,48.86472,20.3972099
152,Bielovce,Bielovce,Levice,935 74,Pastovce,Pastovce,402,NI,47.9922918,18.7736728
153,Biely Kostol,Biely Kostol,Trnava,919 34,Biely Kostol,Biely Kostol,207,TA,48.3668689,17.5318549
154,Biely Potok,Biely Potok,Ružomberok,034 03,Ružomberok 3,Ružomberok 3,508,ZI,49.0396979,19.2975732
155,Bijacovce,Bijacovce,Levoča,053 06,Bijacovce,Bijacovce,704,PV,49.02438170000001,20.7983113
156,Bílkove Humence,Bílkove Humence,Senica,908 77,Borský Mikuláš,Borský Mikuláš,205,TA,48.5874844,17.2380938
157,Bíňa,Bíňa,Nové Zámky,943 56,Bíňa,Bíňa,404,NI,47.9198171,18.6389333
158,Bindt,Bindt,Spišská Nová Ves,053 32,Hnilčík,Hnilčík,810,KI,48.87023,20.5782299
159,Bíňovce,Bíňovce,Trnava,919 07,Bíňovce,Bíňovce,207,TA,48.5040282,17.4813864
160,Biskupice,Biskupice,Bánovce nad Bebravou,957 01,Bánovce nad Bebravou 1,Bánovce nad Beb. 1,301,TC,48.7094114,18.2445505
161,Biskupice,Biskupice,Lučenec,986 01,Fiľakovo,Fiľakovo,606,BC,48.2502046,19.8353625
162,Biskupice,Biskupice,Trenčín,911 01,Trenčín 1,Trenčín 1,309,TC,48.8770229,18.0214142
163,Biskupová,Biskupová,Topoľčany,956 07,Veľké Ripňany,Veľké Ripňany,406,NI,48.4625536,17.9837714
164,Bitarová,Bitarová,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.2070225,18.671146
165,Blahová,Blahová,Dunajská Streda,930 52,Blahová,Blahová,201,TA,48.08578480000001,17.5364995
166,Blatná na Ostrove,Blatná na Ostrove,Dunajská Streda,930 32,Blatná na Ostrove,Blatná na Ostrove,201,TA,48.0074778,17.4426022
167,Blatná Polianka,Blatná Polianka,Sobrance,072 44,Blatné Remety,Blatné Remety,809,KI,48.692184,22.1067228
168,Blatné,Blatné,Senec,900 82,Blatné pri Senci,Blatné pri Senci,108,BL,48.2669514,17.417111
169,Blatné Remety,Blatné Remety,Sobrance,072 44,Blatné Remety,Blatné Remety,809,KI,48.7080511,22.1045224
170,Blatné Revištia,Blatné Revištia,Sobrance,072 43,Veľké Revištia,Veľké Revištia,809,KI,48.73439020000001,22.0792906
171,Blatnica,Blatnica,Martin,038 15,Blatnica pri Martine,Blatnica pri Martine,506,ZI,48.9395026,18.9246675
172,Blažice,Blažice,Košice-okolie,044 16,Bohdanovce pri Košiciach,Bohdanovce pri Koš.,806,KI,48.6668518,21.4112488
173,Blažkov,Blažkov,Čadca,023 02,Krásno nad Kysucou,Krásno nad Kysucou,502,ZI,49.37443,18.84331
174,Blažková,Blažková,Čadca,023 11,Zákopčie,Zákopčie,502,ZI,49.43855509999999,18.7897828
175,Blažovce,Blažovce,Turčianske Teplice,038 44,Jazernica,Jazernica,509,ZI,48.9394067,18.8447862
176,Blesovce,Blesovce,Topoľčany,956 01,Bojná,Bojná,406,NI,48.5573505,18.0385403
177,Blhovce,Blhovce,Rimavská Sobota,980 32,Blhovce,Blhovce,609,BC,48.2735963,19.9532188
178,Bobot,Bobot,Trenčín,913 25,Bobot,Bobot,309,TC,48.8064416,18.1912935
179,Bobotská Lehota,Bobotská Lehota,Trenčín,913 25,Bobot,Bobot,309,TC,48.80299549999999,18.1953754
180,Bobrov,Bobrov,Námestovo,029 42,Bobrov,Bobrov,507,ZI,49.4280238,19.5428614
181,Bobrovček,Bobrovček,Liptovský Mikuláš,032 21,Bobrovec,Bobrovec,505,ZI,49.0811487,19.6192067
182,Bobrovec,Bobrovec,Liptovský Mikuláš,032 21,Bobrovec,Bobrovec,505,ZI,49.1192931,19.6112558
183,Bobrovník,Bobrovník,Liptovský Mikuláš,032 23,Liptovská Sielnica,Liptovská Sielnica,505,ZI,49.1163854,19.4764775
184,Bočiar,Bočiar,Košice-okolie,044 57,Haniska pri Košiciach,Haniska p. Košiciach,806,KI,48.59187379999999,21.2355535
185,Bodice,Bodice,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.0588935,19.5753013
186,Bodíky,Bodíky,Dunajská Streda,930 31,Vojka nad Dunajom,Vojka nad Dunajom,201,TA,47.9253762,17.4576417
187,Bodiná,Bodiná,Považská Bystrica,018 15,Prečín,Prečín,306,TC,49.1064971,18.556302
188,Bodok,Bodok,Topoľčany,956 08,Horné Obdokovce,Horné Obdokovce,406,NI,48.50615,18.06107
189,Bodorová,Bodorová,Turčianske Teplice,038 45,Malý Čepčín,Malý Čepčín,509,ZI,48.9047643,18.8495451
190,Bodov,Bodov,Senec,903 01,Senec,Senec,108,BL,48.2170295,17.4061499
191,Bodovce,Bodovce,Sabinov,082 66,Uzovce,Uzovce,708,PV,49.1027707,21.0977919
192,Bodovka - Krivosúd,Bodovka - Krivosúd,Trenčín,913 11,Trenčianske Stankovce,Trenč.Stankovce,309,TC,48.821686,17.941614
193,Bodružal,Bodružal,Svidník,090 05,Krajná Poľana,Krajná Poľana,712,PV,49.35397769999999,21.70846
194,Bodza,Bodza,Komárno,946 16,Bodza,Bodza,401,NI,47.8342932,17.8300431
195,Bodzianske Lúky,Bodzianske Lúky,Komárno,946 14,Zemianska Olča,Zemianska Olča,401,NI,47.88835719999999,17.8981644
196,Bogliarka,Bogliarka,Bardejov,086 04,Kružlov,Kružlov,701,PV,49.2766228,21.1542579
197,Bohatá,Bohatá,Komárno,947 03,Hurbanovo 3,Hurbanovo 3,401,NI,47.8931991,18.1917473
198,Bohdanovce,Bohdanovce,Košice-okolie,044 16,Bohdanovce pri Košiciach,Bohdanovce pri Koš.,806,KI,48.6565193,21.4011716
199,Bohdanovce nad Trnavou,Bohdanovce n/Trnavou,Trnava,919 09,Bohdanovce nad Trnavou,Bohdanovce nad Trn.,207,TA,48.370902,17.5833238
200,Boheľov,Boheľov,Dunajská Streda,929 01,Dunajská Streda 1,Dunajská Streda 1,201,TA,47.9195344,17.6950414
201,Bohunice,Bohunice,Trnava,919 30,Jaslovské Bohunice,Jaslovské Bohunice,207,TA,48.4792908,17.6450501
202,Bohunice,Bohunice,Ilava,018 52,Pruské,Pruské,302,TC,49.0173878,18.2000097
203,Bohunice,Bohunice,Levice,935 05,Pukanec,Pukanec,402,NI,48.3330851,18.752081
204,Bohúňovo,Bohúňovo,Rožňava,049 12,Gemerská Hôrka,Gemerská Hôrka,808,KI,48.5137833,20.3845203
205,Bojná,Bojná,Topoľčany,956 01,Bojná,Bojná,406,NI,48.5735141,18.0589161
206,Bojnice,Bojnice,Prievidza,972 01,Bojnice,Bojnice,307,TC,48.7788386,18.5826867
207,Bojnice - kúpele,Bojnice - kúpele,Prievidza,972 01,Bojnice,Bojnice,307,TC,48.7743,18.57281
208,Bojničky,Bojničky,Hlohovec,920 55,Bojničky,Bojničky,203,TA,48.391048,17.79809
209,Bokroš,Bokroš,Komárno,946 39,Iža,Iža,401,NI,47.75871,18.2681
210,Bokša,Bokša,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.2064239,21.6325839
211,Boľ,Boľ,Trebišov,076 53,Boľ,Boľ,811,KI,48.4716691,21.9414436
212,Boldog,Boldog,Senec,925 26,Reca,Reca,108,BL,48.2170295,17.4061499
213,Boleráz,Boleráz,Trnava,919 08,Boleráz,Boleráz,207,TA,48.4657012,17.4938478
214,Bolešov,Bolešov,Ilava,018 53,Bolešov,Bolešov,302,TC,48.98581799999999,18.1571751
215,Boliarov,Boliarov,Košice-okolie,044 47,Kecerovce,Kecerovce,806,KI,48.8030368,21.4303564
216,Boľkovce,Boľkovce,Lučenec,984 01,Lučenec 1,Lučenec 1,606,BC,48.3370863,19.7704653
217,Borcová,Borcová,Turčianske Teplice,038 44,Jazernica,Jazernica,509,ZI,48.9276492,18.8390624
218,Borčany,Borčany,Bánovce nad Bebravou,956 36,Rybany,Rybany,301,TC,48.6578005,18.217852
219,Borčice,Borčice,Ilava,018 53,Bolešov,Bolešov,302,TC,48.9786284,18.1380117
220,Borda,Borda,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.7548,21.5091699
221,Borinka,Borinka,Malacky,900 32,Borinka pri Bratislave,Borinka pri Brat.,106,BL,48.26239229999999,17.0861501
222,Borov,Borov,Medzilaborce,068 01,Medzilaborce,Medzilaborce,705,PV,49.3033203,21.8852665
223,Borová,Borová,Trnava,919 61,Ružindol,Ružindol,207,TA,48.3871508,17.4456784
224,Borovce,Borovce,Piešťany,922 09,Borovce,Borovce,204,TA,48.5738007,17.7458621
225,Borský Mikuláš,Borský Mikuláš,Senica,908 77,Borský Mikuláš,Borský Mikuláš,205,TA,48.6291305,17.2124787
226,Borský Peter,Borský Peter,Senica,908 77,Borský Mikuláš,Borský Mikuláš,205,TA,48.6798599,17.3610048
227,Borský Svätý Jur,Borský Svätý Jur,Senica,908 79,Borský Svätý Jur,Borský Svätý Jur,205,TA,48.6149393,17.0498101
228,Borša,Borša,Trebišov,076 32,Borša,Borša,811,KI,48.39535730000001,21.7071372
229,Bory,Bory,Levice,935 87,Santovka,Santovka,402,NI,48.1789084,18.7499685
230,Bošáca,Bošáca,Nové Mesto n.Váhom,913 07,Bošáca,Bošáca,304,TC,48.82874409999999,17.8382061
231,Bošany,Bošany,Partizánske,956 18,Bošany,Bošany,305,TC,48.57894220000001,18.251644
232,Bošianska Neporadza,Bošianska Neporadza,Trenčín,913 26,Motešice,Motešice,309,TC,48.8224188,18.1532183
233,Boťany,Boťany,Trebišov,076 43,Čierna nad Tisou,Čierna nad Tisou,811,KI,48.4483091,22.0916572
234,Bottovo,Bottovo,Rimavská Sobota,980 41,Dubovec,Dubovec,609,BC,48.31228309999999,20.1504545
235,Božčice,Božčice,Trebišov,076 62,Parchovany,Parchovany,811,KI,48.7704803,21.7317074
236,Bôrka,Bôrka,Rožňava,049 42,Drnava,Drnava,808,KI,48.6308211,20.764216
